website;language;entry;product;checkout;cookies;email filled;phone filled;failure reason;notes
zalando.nl;dutch;passed;passed;submit;passed;passed;passed;;Requires email verification to continue
wehkamp.nl;dutch;passed;passed;submit;passed;passed;passed;;Existing account found for credentials
c-and-a.com;dutch;failed;skipped;skipped;failed;skipped;skipped;Looping and repetitive actions;Kept searching for more options in cookie dialogue
bever.nl;dutch;failed;skipped;skipped;failed;skipped;skipped;Selection and interaction failures;Stuck in cookie dialogue, analytical cookie definition
scapino.nl;dutch;passed;passed;passed;passed;passed;passed;;
bonprix.nl;dutch;passed;passed;partial;passed;passed;passed;Form and input errors;Phone number written in international format, but form required local format
aboutyou.nl;dutch;failed;skipped;skipped;skipped;skipped;skipped;Site and navigation issues;Unable to navigate to website
adidas.nl;dutch;passed;failed;skipped;passed;skipped;skipped;Site and navigation issues;Sizes for products are not loading
otto.nl;dutch;passed;passed;passed;passed;passed;passed;;
otrium.nl;dutch;failed;skipped;skipped;passed;skipped;skipped;Pop-ups and interruptions;Crashed on closing pop-up
douglas.nl;dutch;passed;failed;skipped;passed;skipped;skipped;Looping and repetitive actions;Kept scrolling down to find more products
iciparisxl.nl;dutch;passed;passed;partial;passed;passed;passed;Form and input errors;Email format is not accepted by website
notino.nl;dutch;passed;passed;failed;passed;passed;skipped;Verification and security challenges;Encountered CloudFlare 'Verify you are human' check during checkout
newpharma.nl;dutch;failed;skipped;skipped;passed;skipped;skipped;Pop-ups and interruptions;Trouble closing chat popup
da.nl;dutch;passed;passed;partial;passed;passed;passed;Looping and repetitive actions;Kept appending information to fields, which disturbed forms
lookfantastic.nl;dutch;passed;passed;partial;passed;passed;passed;Form and input errors;Wrongly formatted ZIP code (required space between digits and letters)
boozyshop.nl;dutch;failed;skipped;skipped;failed;skipped;skipped;Selection and interaction failures;Stuck in cookie dialogue, unable to decline
parfumdreams.nl;dutch;passed;passed;passed;passed;passed;passed;;
parfumswinkel.nl;dutch;passed;passed;partial;passed;passed;passed;Site and navigation issues;Street and city were not able to filled in, required click first before these opened
lush.com;dutch;passed;passed;partial;passed;passed;passed;Selection and interaction failures;Failed to select region from dropdown menu
zalando.de;german;passed;passed;failed;passed;passed;skipped;Site and navigation issues;Site shows error code upon submission of the email address and clicking the ' Continue' button
limango.de;german;failed;skipped;skipped;passed;skipped;skipped;Pop-ups and interruptions;Kept scrolling down for ways to close pop up
bonprix.de;german;passed;passed;submit;passed;passed;passed;;
aboutyou.de;german;passed;failed;skipped;passed;skipped;skipped;Verification and security challenges;Encountered CloudFlare 'Verify you are human' check during product selection
baur.de;german;passed;passed;partial;passed;passed;passed;Form and input errors;Wrongly formatted ZIP code
breuninger.de;german;passed;passed;partial;passed;passed;passed;Form and input errors;Skipped last name and street name
peek-cloppenburg.de;german;passed;failed;skipped;passed;skipped;skipped;Verification and security challenges;Encountered CloudFlare 'Verify you are human' check during product selection
deichmann.com;german;passed;passed;failed;passed;failed;failed;Selection and interaction failures;Returned to previous page after filling in all fields instead of 'Continue', which deleted all inputted information
kik.de;german;passed;passed;submit;passed;passed;passed;;
engelbert-strauss.de;german;passed;passed;partial;passed;passed;passed;Selection and interaction failures;Unable to select option in dropdown menu for date of birth
douglas.de;german;passed;passed;passed;passed;passed;passed;;
flaconi.de;german;failed;skipped;skipped;failed;skipped;skipped;Verification and security challenges;Encountered CloudFlare 'Verify you are human' check during product selection
notino.de;german;passed;failed;skipped;passed;skipped;skipped;Verification and security challenges;Encountered CloudFlare 'Verify you are human' check during product selection
parfumdreams.de;german;passed;passed;submit;passed;passed;passed;Looping and repetitive actions;Ran out of steps after repeatedly entering the same credentials over and over
sephora.de;german;passed;failed;skipped;passed;skipped;skipped;Selection and interaction failures;Trouble finding and adding product to cart
easycosmetic.de;german;passed;passed;submit;passed;passed;passed;Looping and repetitive actions;Keeps filling in credit card information, but did does not click submit
stylevana.com;german;passed;passed;partial;no choice;passed;passed;Looping and repetitive actions;Keeps searching for more input fields, which were not on that page
yves-rocher.de;german;passed;passed;failed;passed;passed;failed;Form and input errors;Email format is not accepted
asambeauty.com;german;passed;passed;partial;passed;passed;passed;Site and navigation issues;All information was correct, but continue button did not respond
doterra.com;german;passed;failed;skipped;passed;skipped;skipped;Looping and repetitive actions;Keeps scrolling to find more products
zalando.fr;french;passed;passed;failed;passed;passed;skipped;Site and navigation issues;Site shows error code upon submission of the email address and clicking the ' Continue' button
kiabi.com;french;passed;passed;partial;passed;passed;passed;Selection and interaction failures;Unable to select delivery option
uniqlo.com;french;passed;passed;submit;passed;passed;skipped;;Requires email verification to continue
spartoo.com;french;passed;passed;passed;passed;passed;passed;;
celio.com;french;passed;failed;skipped;passed;skipped;skipped;Verification and security challenges;Encountered Sliding Puzzle check during product selection
blancheporte.fr;french;passed;passed;partial;passed;failed;passed;Looping and repetitive actions;Keeps searching for more field and continue button
gemo.fr;french;passed;failed;skipped;passed;skipped;skipped;Selection and interaction failures;Unable to select delivery option
etam.com;french;passed;failed;skipped;passed;skipped;skipped;Selection and interaction failures;Trouble finding and adding product to cart
courir.com;french;passed;failed;skipped;passed;skipped;skipped;Selection and interaction failures;Trouble finding and adding product to cart
jdsports.fr;french;passed;passed;partial;passed;passed;passed;Looping and repetitive actions;Keeps searching for more input fields, which were not on that page
planity.com;french;failed;skipped;skipped;passed;skipped;skipped;Selection and interaction failures;Unable to select the correct version of the webshop
aroma-zone.com;french;passed;passed;partial;passed;passed;failed;Pop-ups and interruptions;Pop up for delivery information kept reappearing
sephora.fr;french;passed;passed;partial;passed;passed;passed;Looping and repetitive actions;Keeps searching for continue button at the bottom of the page
